"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-2503.97848075,-2503.61945,2.35473708890045,2.21389245000032,-2508.525175,-2500.764485,1.00002167488607,914.660884877456,1277.52686051403
"beta_0",-4.70010340405,-4.699822,0.122506986748015,0.12194288631,-4.90812442,-4.50417691,1.00105863352192,1044.35833521515,1349.04555309395
"beta_t[1]",0.461424134018,0.459963995,0.126941552906145,0.123047638287,0.2480443215,0.6742428035,1.00369395128852,1410.70942989176,1537.72267405604
"beta_t[2]",0.906200052615,0.910021055,0.202988573503425,0.206212417362,0.578615298,1.22817009,1.00073708862472,1885.47997004957,1521.87127814269
"beta_t[3]",-0.0593513239228146,-0.0595076975,0.119056372717311,0.1232735279643,-0.257707861,0.128245233,1.00012570757629,1401.18039203352,1688.05875037296
"beta_t[4]",0.4040939602047,0.40476736,0.160335607241892,0.165352954704,0.1389251435,0.663758629,1.00140797632402,1792.22426016777,1507.43471416852
"beta_i",1.4374392723,1.4377128,0.124638526907327,0.12352637724,1.23580724,1.644412295,1.00004399723277,2552.27486447963,1451.38280373791
"beta_w",0.11076178691288,0.11191364,0.106127952666265,0.105944164536,-0.06122636055,0.289587947,1.00076625561686,2895.09274220711,1338.26440712558
"beta_snow",-0.201966732023105,-0.199918485,0.137754636632426,0.138522668676,-0.4319401085,0.0166262338499999,1.00056205493465,2769.81715874719,1398.24825553986
"beta_rain",0.096368488416,0.0966418475,0.0179375851972843,0.0182271392562,0.06651833535,0.1252367985,1.00010516677996,2291.86051940856,1519.97252731809
"beta_lat",0.210821490726,0.209373345,0.047825567838031,0.047499227454,0.13480682,0.29120516,1.00017751198446,2975.0946992698,1391.06403420322
"beta_lon",-0.07457877856642,-0.075430378,0.0465976771980216,0.047153010702,-0.1497546055,0.002893760055,1.00113417467361,2589.60098803309,1566.84256922746
