"variable","mean","median","sd","mad","q5","q95"
"lp__",-2525.36464105,-2523.2878,7.50466931853564,5.8450022400002,-2540.225565,-2517.402285
"lp_approx__",-5.438539066555,-5.0760122,2.27916688412202,2.15307115716,-9.377759015,-2.42395757
"beta_0",-4.674500376,-4.6745755,0.0585980135458115,0.0575594245800003,-4.771099965,-4.57850401
"beta_t[1]",0.48557989331,0.48824257,0.097663961744442,0.10092710544,0.3227230305,0.6424604485
"beta_t[2]",0.888072910145,0.890140895,0.167877961690521,0.163755890571,0.61341262,1.156304465
"beta_t[3]",-0.00671368956319262,-0.0042900928,0.0779871171699725,0.0785668710141,-0.135379844,0.121119617
"beta_t[4]",0.38136392605575,0.383494505,0.116849286378201,0.114936645033,0.189948736,0.57032214
"beta_i",1.47052125195,1.47112995,0.0914164486153178,0.09491560722,1.319410265,1.621303005
"beta_w",0.108802464175964,0.11119254,0.0804871311933804,0.0803399538669,-0.0254999735,0.243262062
"beta_snow",-0.123393584444665,-0.126245135,0.122017381466102,0.1217040957888,-0.3277162315,0.07473658335
"beta_rain",0.114796221395,0.11474095,0.00943933185619973,0.009725018331,0.099600351,0.13073103
"beta_lat",0.182367213732,0.183017575,0.0475780439289722,0.047966646756,0.101997938,0.259432811
"beta_lon",-0.067047787700315,-0.0669915825,0.0404360535697617,0.0409995794775,-0.1319414535,-0.00116194738500001
